855.0,0,0,22866,7622,7622,
865.0,0,0,23741,7914,7914,
875.0,0,0,26005,8668,8668,
885.0,0,0,29824,9941,9941,
895.0,0,0,35402,11801,11801,
905.0,0,0,42845,14282,14282,
915.0,0,0,51939,17313,17313,
925.0,0,0,61850,20617,20617,
935.0,0,0,70887,23629,23629,
945.0,0,0,76612,25537,25537,
955.0,0,0,76559,25520,25520,
965.0,0,0,69455,23152,23152,
975.0,0,0,56265,18755,18755,
985.0,0,0,40113,13371,13371,
995.0,0,0,24857,8286,8286,

Percentile,Size (nm),Size (nm),Size (nm),
0,0.0,0.0,0.0,
1,64.3,72.6,70.4,
2,69.7,75.8,71.8,
3,71.5,79.0,73.2,
4,73.2,80.5,74.6,
5,74.8,81.3,76.1,
6,76.4,82.0,77.5,
7,78.0,82.7,78.9,
8,79.6,83.5,80.1,
9,80.6,84.2,80.9,
10,81.4,85.0,81.6,
11,82.1,85.7,82.4,
12,82.9,86.4,83.1,
13,83.7,87.2,83.8,
14,84.4,87.9,84.6,
15,85.2,88.7,85.3,
16,86.0,89.4,86.0,
17,86.7,90.1,86.8,
18,87.5,90.6,87.5,
19,88.2,91.1,88.3,
20,89.0,91.6,89.0,
21,89.8,92.1,89.7,
22,90.4,92.6,90.5,
23,91.0,93.1,91.3,
24,91.6,93.6,92.1,
25,92.2,94.1,92.9,
26,92.8,94.6,93.6,
27,93.4,95.2,94.4,
28,94.0,95.7,95.2,
29,94.6,96.2,96.0,
30,95.2,96.7,96.8,
31,95.8,97.2,97.6,
32,96.4,97.7,98.4,
33,97.0,98.2,99.1,
34,97.6,98.7,99.9,
35,98.2,99.2,100.8,
36,98.8,99.7,101.7,
37,99.4,100.3,102.5,
38,100.0,101.0,103.4,
39,100.7,101.7,104.3,
40,101.5,102.4,105.2,
41,102.2,103.2,106.0,
42,102.9,103.9,106.9,
43,103.6,104.6,107.8,
44,104.3,105.3,108.7,
45,105.0,106.0,109.5,
46,105.7,106.7,110.4,
47,106.4,107.5,111.3,
48,107.1,108.2,112.2,
49,107.9,108.9,113.1,
50,108.6,109.6,113.9,
51,109.3,110.5,114.8,
52,110.0,111.7,115.7,
53,111.0,112.8,116.6,
54,112.1,113.9,117.5,
55,113.2,115.1,118.4,
56,114.2,116.2,119.2,
57,115.3,117.4,120.1,
58,116.4,118.5,121.2,
59,117.4,119.6,122.3,
60,118.5,121.1,123.4,
61,119.5,122.7,124.4,
62,121.0,124.3,125.5,
63,122.9,125.8,126.6,
64,124.7,127.4,127.6,
65,126.5,129.0,128.7,
66,128.3,130.8,129.8,
67,130.2,132.8,131.4,
68,132.7,134.8,133.1,
69,135.2,136.8,134.8,
70,137.7,138.9,136.5,
71,140.2,141.0,138.2,
72,142.8,143.3,139.9,
73,145.4,145.6,142.2,
74,148.0,148.0,144.5,
75,150.7,150.3,146.8,
76,153.3,152.6,149.1,
77,155.9,154.9,151.4,
78,158.5,157.3,153.6,
79,161.2,159.6,155.8,
80,163.8,162.0,158.0,
81,166.5,164.3,160.1,
82,169.1,166.7,162.2,
83,171.7,169.1,164.2,
84,174.3,171.7,166.3,
85,176.9,174.5,168.3,
86,179.4,177.3,170.5,
87,182.1,180.1,173.2,
88,184.8,183.8,175.9,
89,187.4,187.5,178.6,
90,190.2,192.0,182.4,
91,194.2,198.0,187.3,
92,198.2,207.5,193.9,
93,206.0,226.5,203.8,
94,250.7,240.9,215.8,
95,262.3,247.4,226.6,
96,268.3,252.6,236.6,
97,274.2,256.8,248.0,
98,280.6,262.4,266.9,
99,397.9,430.3,299.6,
100,990.0,990.0,990.0,

