NTA Experiment Summary File
405.0,364823,0,24087,208620,1474,119801,72608,
415.0,102907,0,14855,88282,3793,41967,22150,
425.0,4016,0,8541,33488,8195,10848,5871,
435.0,20,0,4538,11603,14670,6166,3003,
445.0,0,0,2212,3711,21827,5550,4130,
455.0,0,0,983,1100,27422,5901,5385,
465.0,0,0,396,303,29832,6106,5932,
475.0,0,0,145,77,29005,5845,5790,
485.0,0,0,48,18,26108,5235,5218,
495.0,0,0,14,4,22560,4516,4511,
505.0,0,0,4,0,19376,3876,3875,
515.0,0,0,0,0,17056,3412,3411,
525.0,0,0,0,0,15773,3155,3155,
535.0,0,0,0,0,15583,3117,3117,
545.0,0,0,0,0,16581,3316,3316,
555.0,0,0,0,0,18991,3798,3798,
565.0,0,0,0,0,23206,4641,4641,
575.0,0,0,0,0,29786,5957,5957,
585.0,0,0,0,0,39338,7868,7868,
595.0,0,0,0,0,52200,10440,10440,
605.0,0,0,0,0,67872,13574,13574,
615.0,0,0,0,0,84348,16870,16870,
625.0,0,0,0,0,97868,19574,19574,
635.0,0,0,0,0,103790,20758,20758,
645.0,0,0,0,0,98753,19751,19751,
655.0,0,0,0,0,82984,16597,16597,
665.0,0,0,0,0,60796,12159,12159,
675.0,0,0,0,0,38436,7687,7687,
685.0,0,0,0,0,20804,4161,4161,
695.0,0,0,0,0,9586,1917,1917,
705.0,0,0,0,0,3745,749,749,
715.0,0,0,0,0,1238,248,248,
725.0,0,0,0,0,346,69,69,
735.0,0,0,0,0,82,16,16,
745.0,0,0,0,0,16,3,3,
755.0,0,0,0,0,3,0,0,
765.0,0,0,0,0,0,0,0,
775.0,0,0,0,0,0,0,0,
785.0,0,0,0,0,0,0,0,
795.0,0,0,0,0,0,0,0,
805.0,0,0,0,0,0,0,0,
815.0,0,0,0,0,0,0,0,
825.0,0,0,0,0,0,0,0,
835.0,0,0,0,0,0,0,0,
845.0,0,0,0,0,0,0,0,
855.0,0,0,0,0,0,0,0,
865.0,0,0,0,0,0,0,0,
875.0,0,0,0,0,0,0,0,
885.0,0,0,0,0,0,0,0,
895.0,0,0,0,0,0,0,0,
905.0,0,0,0,0,0,0,0,
915.0,0,0,0,0,0,0,0,
925.0,0,0,0,0,0,0,0,
935.0,0,0,0,0,0,0,0,
945.0,0,0,0,0,0,0,0,
955.0,0,0,0,0,0,0,0,
965.0,0,0,0,0,0,0,0,
975.0,0,0,0,0,0,0,0,
985.0,0,0,0,0,0,0,0,
995.0,0,0,0,0,0,0,0,

Percentile,Size (nm),Size (nm),Size (nm),Size (nm),Size (nm),
0,0.0,0.0,0.0,0.0,0.0,
1,41.2,47.1,41.8,44.3,70.4,
2,43.1,51.3,53.4,59.8,75.0,
3,45.0,53.3,62.0,70.0,79.7,
4,46.9,55.2,67.5,72.6,81.3,
5,48.8,57.2,71.1,75.2,82.8,
6,50.5,59.2,73.0,77.7,84.2,
7,52.1,61.1,75.0,80.1,85.6,
8,53.6,63.0,77.0,81.3,87.0,
9,55.1,64.9,79.0,82.5,88.5,
10,56.6,66.9,80.5,83.6,89.9,
11,58.1,68.8,81.5,84.8,90.7,
12,59.6,70.6,82.4,85.9,91.5,
13,61.2,72.5,83.4,87.1,92.2,
14,62.7,74.3,84.4,88.2,93.0,
15,64.3,76.1,85.4,89.4,93.7,
16,65.9,78.0,86.4,90.5,94.5,
17,67.5,79.8,87.3,91.5,95.2,
18,69.0,81.2,88.3,92.5,96.0,
19,70.5,82.5,89.3,93.5,96.8,
20,71.9,83.8,90.2,94.5,97.5,
21,73.2,85.2,91.1,95.5,98.3,
22,74.6,86.5,91.9,96.5,99.0,
23,75.9,87.8,92.7,97.5,99.8,
24,77.3,89.1,93.6,98.5,100.5,
25,78.6,90.3,94.4,99.5,101.1,
26,80.0,91.2,95.2,100.5,101.7,
27,81.1,92.0,96.1,101.5,102.4,
28,82.1,92.9,96.9,102.5,103.0,
29,83.2,93.8,97.7,103.6,103.6,
30,84.3,94.6,98.6,104.6,104.3,
31,85.4,95.5,99.4,105.6,104.9,
32,86.5,96.3,100.3,106.7,105.5,
33,87.5,97.2,101.2,107.7,106.2,
34,88.6,98.1,102.2,108.7,106.8,
35,89.7,98.9,103.2,109.8,107.4,
36,90.6,99.8,104.2,110.8,108.1,
37,91.4,100.5,105.2,111.9,108.7,
38,92.2,101.2,106.1,112.9,109.3,
39,93.0,102.0,107.1,114.0,110.0,
40,93.9,102.7,108.1,115.0,110.6,
41,94.7,103.4,109.1,116.1,111.3,
42,95.5,104.1,110.1,117.1,111.9,
43,96.3,104.8,111.1,118.2,112.6,
44,97.1,105.5,112.2,119.3,113.2,
45,97.9,106.2,113.3,120.3,113.9,
46,98.8,106.9,114.3,121.4,114.5,
47,99.6,107.7,115.4,122.4,115.2,
48,100.3,108.4,116.5,123.4,115.8,
49,101.0,109.1,117.6,124.5,116.5,
50,101.6,109.8,118.6,125.5,117.1,
51,102.2,110.7,119.7,126.6,117.8,
52,102.9,111.6,120.7,127.6,118.5,
53,103.5,112.5,121.8,128.7,119.1,
54,104.2,113.5,122.8,129.7,119.8,
55,104.8,114.4,123.8,130.8,120.5,
56,105.5,115.3,124.9,131.9,121.2,
