Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
109105,368.955,1.30401e+006,3.55217,1389,2,False,
109130,89.6136,5.36884e+006,4.40323,1389,23,True,
109132,95.2199,5.05273e+006,3.91611,1389,2,False,
109134,53.1749,9.04789e+006,3.77132,1389,4,False,
109136,136.194,3.5326e+006,4.35316,1389,5,False,
109138,64.9688,7.40541e+006,3.683,1390,2,False,
109139,80.3246,5.98971e+006,4.4885,1390,11,True,
109140,136.252,3.5311e+006,3.47719,1391,10,True,
109141,62.9937,7.6376e+006,3.49775,1391,2,False,
109143,119.496,4.02626e+006,3.63341,1391,2,False,
109144,54.3033,8.85989e+006,3.71459,1391,4,False,
109145,1088.03,442194,3.3748,1391,3,False,
109146,145.903,3.29754e+006,3.32889,1391,2,False,
109362,78.7674,6.10812e+006,3.06859,1392,4,False,
109370,27770.4,17324.9,3.40065,1392,2,False,
109407,381.461,1.26126e+006,3.09761,1392,2,False,
109420,778.619,617916,3.18841,1392,2,False,
109550,153.619,3.13192e+006,3.68992,1392,2,False,
109590,635.059,757600,3.65013,1392,2,False,
109603,42.5884,1.1297e+007,3.36096,1392,4,False,
109620,203.776,2.36103e+006,3.59936,1394,2,False,
109630,73.192,6.57341e+006,3.71486,1392,7,True,
109631,135.407,3.55316e+006,4.38687,1392,4,False,
109632,182.372,2.63813e+006,4.87957,1392,8,False,
109633,90.8208,5.29747e+006,4.54741,1375,15,True,
109634,174.396,2.75878e+006,2.71005,1393,2,False,
109636,143.191,3.35998e+006,3.04733,1393,2,False,
109637,67.4182,7.13636e+006,3.6682,1393,3,False,
109641,163.562,2.94152e+006,4.15409,1393,8,True,
109642,101.398,4.74487e+006,4.78998,1393,15,True,
109643,193.118,2.49133e+006,3.40367,1394,4,False,
109645,221.647,2.17066e+006,3.75557,1394,8,False,
109865,224.328,2.14472e+006,3.22201,1395,2,False,
110039,107.049,4.49438e+006,3.44407,1395,3,False,
110043,95.6879,5.02802e+006,3.97092,1397,2,False,
110062,58.6785,8.19927e+006,3.83951,1395,3,False,
110072,809.075,594655,3.29416,1395,2,False,
110074,97.3511,4.94212e+006,3.38324,1395,6,True,
110105,226.161,2.12733e+006,3.53057,1395,7,False,
110106,51.0139,9.43116e+006,3.76483,1395,3,False,
110112,99.3917,4.84065e+006,3.65349,1395,10,True,
110130,210.032,2.2907e+006,3.81322,1395,6,False,
110145,363.612,1.32317e+006,4.49222,1395,3,False,
110146,92.4723,5.20286e+006,4.29298,1395,3,False,
110148,122.695,3.92127e+006,4.96071,1395,18,True,
110152,59.4862,8.08793e+006,3.64018,1396,2,False,
110157,57.7824,8.32643e+006,4.46117,1396,3,False,
110158,76.3928,6.29798e+006,4.85684,1396,4,False,
110159,67.266,7.15251e+006,3.84923,1392,2,False,
110534,98.3666,4.8911e+006,3.67856,1397,4,False,
110538,129.942,3.70258e+006,3.57511,1397,2,False,
110606,549.975,874806,3.46761,1398,2,False,
110607,101.128,4.75756e+006,3.5874,1397,18,True,
110608,59.8034,8.04504e+006,3.4806,1397,2,False,
110640,31.0574,1.54913e+007,3.5991,1397,2,False,
110651,90.3733,5.3237e+006,3.98845,1397,7,True,
110653,59.3355,8.10848e+006,3.70022,1398,4,False,
110654,106.317,4.52535e+006,4.01559,1398,6,True,
110657,1233.19,390143,2.97853,1399,2,False,
110658,166.608,2.88773e+006,3.36706,1399,2,False,
110659,97.046,4.95766e+006,3.1573,1399,2,False,
110660,219.822,2.18869e+006,4.22282,1400,2,False,
110661,132.805,3.62275e+006,4.23751,1399,6,False,
110663,50.8807,9.45586e+006,4.18003,1399,2,False,
110664,250.975,1.91701e+006,3.33806,1395,2,False,
110805,143.495,3.35287e+006,3.24825,1400,2,False,
110985,45.5178,1.05699e+007,4.36592,1400,7,True,
111086,77.2463,6.2284e+006,3.61384,1400,2,False,
111089,122,3.94362e+006,3.73116,1400,2,False,
111165,434.029,1.1085e+006,3.7139,1400,2,False,
111167,113.498,4.23904e+006,4.47001,1400,27,True,
111168,5086.15,94594.3,4.11346,1400,2,False,
111169,205.095,2.34584e+006,4.16663,1400,3,False,
111170,168.094,2.86221e+006,4.58532,1400,6,False,
111177,157.712,3.05064e+006,2.96192,1401,2,False,
111178,77.3136,6.22298e+006,3.57946,1401,3,False,
111182,43.0036,1.11879e+007,3.89792,1402,2,False,
111183,223.259,2.15499e+006,4.37115,1402,3,False,
111607,3610.89,133241,3.53176,1403,2,False,
111621,169.196,2.84357e+006,3.74477,1403,2,False,
111658,141.599,3.39777e+006,3.63668,1403,2,False,
111662,294.122,1.63579e+006,3.6806,1403,2,False,
111692,128.264,3.75101e+006,4.55519,1403,19,True,
111693,161.224,2.98418e+006,4.1119,1403,2,False,
111699,602.866,798057,4.12199,1403,2,False,
111700,99.5212,4.83435e+006,3.96635,1403,21,True,
111701,1656.1,290515,4.23558,1403,2,False,
111704,381.057,1.2626e+006,2.84389,1404,2,False,
111706,50.6445,9.49997e+006,4.16365,1404,4,False,
111708,119.015,4.04253e+006,4.12139,1404,18,True,
111709,167.733,2.86838e+006,3.83447,1404,5,False,
111710,100.886,4.76896e+006,4.29128,1404,24,True,
111711,115.753,4.15644e+006,3.18841,1405,2,False,
111712,38.7407,1.2419e+007,3.23858,1405,2,False,
111714,273.766,1.75742e+006,3.31998,1405,2,False,
111716,91.854,5.23789e+006,2.88782,1405,2,False,
111932,3812.38,126200,3.32957,1406,2,False,
112079,1447.93,332281,3.48849,1406,2,False,
112084,37.9538,1.26765e+007,3.02145,1406,4,False,
112191,550.161,874509,3.68635,1406,2,False,
112201,289.467,1.66209e+006,3.75105,1406,2,False,
112203,25.1163,1.91557e+007,3.94767,1406,2,False,
112204,86.888,5.53725e+006,4.05794,1406,5,True,
112206,214.019,2.24803e+006,4.47771,1406,5,False,
112207,43.2169,1.11327e+007,5.11951,1406,2,False,
112208,58.0748,8.2845e+006,3.36558,1407,4,False,
112212,118.069,4.07492e+006,4.64914,1407,56,True,
112213,186.782,2.57584e+006,3.87244,1407,5,False,
112214,74.3488,6.47113e+006,4.57905,1407,6,True,
112215,141.07,3.4105e+006,2.66467,1408,2,False,
112216,372.021,1.29326e+006,3.53158,1408,3,False,
112218,85.9644,5.59675e+006,3.26924,1408,3,False,
112219,81.242,5.92207e+006,4.5609,1408,15,True,
112220,174.259,2.76096e+006,4.7829,1408,18,True,
112221,148.771,3.23396e+006,5.05732,1408,27,True,
112222,1120.66,429320,3.46761,1409,2,False,
112223,32.5793,1.47677e+007,3.5881,1409,2,False,
112224,54.8423,8.7728e+006,3.10018,1409,3,False,
112225,164.454,2.92556e+006,4.13544,1409,3,False,
112226,86.1349,5.58566e+006,4.04623,1409,4,False,
112227,151.319,3.17951e+006,5.02966,1409,8,True,
112337,245.408,1.96049e+006,3.28565,1410,2,False,
112400,69.0141,6.97134e+006,3.12518,1410,2,False,
112507,298.839,1.60997e+006,3.02723,1410,2,False,
112554,482.193,997776,3.31791,1410,2,False,
112622,6065.31,79323.4,3.45445,1410,2,False,
112671,279.707,1.72009e+006,3.61486,1410,2,False,
112674,76.4403,6.29407e+006,3.40266,1410,3,False,
112678,1548.19,310763,3.84067,1410,2,False,
112679,79.0024,6.08995e+006,3.57751,1410,2,False,
112684,457.07,1.05262e+006,3.68364,1410,3,False,
112687,527.101,912768,3.58361,1410,2,False,
112711,49.277,9.76359e+006,3.80336,1410,2,False,
112721,235.393,2.04391e+006,4.79004,1410,3,False,
112728,312.246,1.54084e+006,2.66798,1411,3,False,
112730,124.815,3.85468e+006,4.05286,1411,13,True,
112733,152.671,3.15135e+006,3.60637,1412,3,False,
112735,104.72,4.59437e+006,4.44974,1412,9,True,
112736,202.412,2.37694e+006,5.01744,1421,4,False,
112737,175.187,2.74633e+006,4.91863,1412,5,False,
112738,49.6833,9.68375e+006,3.76777,1413,3,False,
112739,107.021,4.49557e+006,3.88863,1413,14,True,
112742,399.77,1.2035e+006,4.36139,1413,3,False,
112743,136.863,3.51534e+006,4.52033,1413,3,False,
112896,306.489,1.56978e+006,3.25525,1414,2,False,
113015,95.8426,5.0199e+006,3.69648,1414,3,False,
113058,236.314,2.03594e+006,3.18408,1415,2,False,
113148,421.702,1.1409e+006,3.58096,1416,2,False,
113193,121.199,3.96968e+006,3.90785,1414,3,False,
113194,176.808,2.72115e+006,4.05565,1414,3,False,
113197,462.208,1.04092e+006,3.78982,1414,3,False,
113217,68.4042,7.0335e+006,3.84659,1414,2,False,
113221,142.189,3.38368e+006,4.15226,1414,3,False,
113225,58.7041,8.19569e+006,4.18032,1414,3,False,
113229,46.5796,1.0329e+007,4.09871,1414,3,False,
113233,533.234,902269,3.77537,1416,2,False,
113236,193.285,2.48918e+006,3.40919,1415,2,False,
113237,73.8239,6.51714e+006,4.31707,1415,7,True,
113238,237.677,2.02426e+006,3.38271,1415,2,False,
113239,135.063,3.56218e+006,3.56895,1415,2,False,
113240,61.6627,7.80246e+006,3.72176,1415,2,False,
113241,44.8494,1.07275e+007,3.4688,1415,2,False,
113243,101.08,4.75981e+006,4.88924,1415,34,True,
113434,156.839,3.06762e+006,2.46253,1418,2,False,
113520,88870.7,5413.72,3.57698,1416,2,False,
113600,376.927,1.27643e+006,3.30506,1416,4,False,
113609,1683.06,285861,3.56114,1416,2,False,
113657,796.476,604062,3.65384,1416,2,False,
113661,688.911,698379,3.68945,1416,2,False,
113672,140.428,3.42611e+006,3.50293,1416,2,False,
113699,94.5412,5.08901e+006,3.77039,1416,8,True,
113701,1304.88,368708,3.51547,1416,2,False,
113712,100.571,4.78388e+006,3.75637,1416,11,True,
113714,726.237,662484,4.3021,1416,2,False,
113715,96.789,4.97082e+006,4.46561,1416,21,True,
113727,106.952,4.49848e+006,4.97,1417,17,True,
113728,320.727,1.5001e+006,2.98047,1418,2,False,
113734,43.5054,1.10589e+007,2.74553,1418,2,False,
113735,51.3693,9.36593e+006,3.40636,1418,2,False,
113738,147.422,3.26357e+006,5.01153,1418,10,True,
113739,400.34,1.20178e+006,3.70245,1414,2,False,
113740,275.248,1.74796e+006,3.49168,1414,2,False,
113743,192.582,2.49826e+006,3.1172,1419,2,False,
113744,58.4679,8.2288e+006,3.5115,1419,2,False,
113746,476.584,1.00952e+006,3.21795,1419,3,False,
113747,475.507,1.01181e+006,3.92122,1419,2,False,
113750,151.273,3.18049e+006,4.11273,1419,6,False,
113751,153.863,3.12695e+006,3.73188,1419,7,False,
114087,43.7185,1.1005e+007,3.6074,1420,3,False,
114090,102.598,4.68939e+006,3.69739,1420,4,False,
114108,561.219,857278,3.50636,1420,2,False,
114116,369.415,1.30239e+006,2.7295,1423,3,False,
114129,40.864,1.17737e+007,3.31998,1420,2,False,
114156,175.259,2.74519e+006,3.7758,1420,3,False,
114164,90.7568,5.30121e+006,3.76162,1420,4,False,
114175,154.686,3.11031e+006,3.59047,1420,2,False,
114179,197.969,2.43028e+006,3.70947,1420,4,False,
114185,400.082,1.20255e+006,3.62227,1420,2,False,
114198,183.359,2.62392e+006,3.75239,1420,2,False,
114203,67.2031,7.1592e+006,3.53371,1420,2,False,
114217,37.0549,1.2984e+007,3.71598,1420,2,False,
114221,62.5343,7.69371e+006,3.97469,1420,3,False,
114227,968.033,497009,3.91933,1420,2,False,
114228,101.251,4.75175e+006,2.98095,1416,2,False,
114231,868.181,554171,3.05723,1421,2,False,
114235,47.0752,1.02203e+007,3.30855,1421,4,False,
114236,1720.22,279685,3.42047,1422,2,False,
114240,141.058,3.4108e+006,3.56895,1421,2,False,
114241,144.682,3.32537e+006,4.04114,1421,9,True,
114242,136.097,3.53514e+006,4.44775,1421,17,True,
114305,436.695,1.10173e+006,2.76311,1422,2,False,
114397,688.006,699298,3.08593,1422,2,False,
114403,53845.8,8935.17,3.32341,1422,2,False,
114412,152.573,3.15338e+006,2.83833,1422,4,False,
114438,304.498,1.58004e+006,3.27045,1422,3,False,
114458,402.28,1.19598e+006,2.48817,1423,2,False,
114478,152.711,3.15052e+006,3.32032,1422,2,False,
114480,608.722,790379,3.05094,1422,2,False,
114481,1871.37,257095,3.32238,1422,2,False,
114483,112.523,4.27575e+006,3.03229,1422,2,False,
114496,313.188,1.5362e+006,3.20516,1422,2,False,
114511,91.0323,5.28517e+006,2.99868,1422,2,False,
114523,26.0968,1.8436e+007,3.28956,1422,2,False,
114528,109.415,4.39719e+006,3.08853,1422,2,False,
114565,9817.06,49008.6,3.48732,1422,2,False,
114568,43.1398,1.11526e+007,3.64318,1422,2,False,
114584,83.955,5.7307e+006,3.08984,1422,3,False,
114587,356.346,1.35015e+006,2.61575,1423,2,False,
114622,159.059,3.0248e+006,3.56815,1422,2,False,
114627,117.492,4.09491e+006,3.65359,1422,2,False,
114635,10662.2,45124.1,3.6923,1422,2,False,
114668,177.992,2.70305e+006,3.8135,1422,2,False,
114673,138.708,3.4686e+006,3.79326,1422,6,False,
114692,225.086,2.1375e+006,3.74631,1422,7,False,
114694,79.9124,6.02061e+006,4.38211,1422,9,True,
114695,244.571,1.9672e+006,4.44927,1422,5,False,
114697,42.2509,1.13872e+007,2.70369,1423,2,False,
114698,329.103,1.46191e+006,2.90847,1423,3,False,
114699,104.05,4.62393e+006,2.96143,1423,2,False,
114700,341.91,1.40716e+006,2.78157,1423,2,False,
114702,2846.92,168997,2.83218,1423,2,False,
114704,410.76,1.1713e+006,3.0355,1425,2,False,
114706,413.383,1.16386e+006,2.92938,1423,3,False,
114714,188.501,2.55235e+006,2.47463,1424,2,False,
114718,359.725,1.33747e+006,3.12183,1425,2,False,
114722,1042.03,461713,2.50775,1424,2,False,
114725,466.377,1.03161e+006,3.42862,1424,7,False,
114727,484.299,993438,2.64119,1424,2,False,
114729,26.7071,1.80147e+007,2.73136,1424,2,False,
114730,286.561,1.67895e+006,2.61575,1424,2,False,
114736,40.3235,1.19315e+007,2.7357,1424,2,False,
114740,43.4624,1.10698e+007,3.83801,1424,3,False,
114746,696.508,690761,3.73116,1425,2,False,
114747,60.678,7.92908e+006,3.66974,1424,2,False,
114753,516.457,931580,2.69085,1425,2,False,
114756,811.797,592661,2.73322,1425,2,False,
114757,201.25,2.39066e+006,3.64405,1425,8,False,
114766,126.752,3.79577e+006,3.29922,1425,3,False,
114768,295.226,1.62967e+006,3.71691,1425,6,False,
114771,144.739,3.32407e+006,3.67542,1425,30,True,
114778,29.9691,1.60539e+007,3.11762,1425,2,False,
114780,327.844,1.46753e+006,3.27957,1427,3,False,
114782,81.4371,5.90789e+006,4.87048,1412,9,True,
114783,82.1435,5.85708e+006,3.7259,1426,2,False,
114785,181.495,2.65087e+006,3.3535,1426,2,False,
114786,33.1829,1.44991e+007,3.1331,1426,2,False,
114787,54.2892,8.86218e+006,3.58625,1426,2,False,
114788,217.36,2.21347e+006,3.3384,1426,2,False,
114789,90.7565,5.30123e+006,4.26648,1426,6,True,
114793,251.331,1.91429e+006,3.33941,1426,2,False,
114794,115.057,4.1816e+006,3.62608,1426,2,False,
114796,41.5358,1.15833e+007,3.29098,1426,2,False,
114798,191.284,2.51522e+006,2.91296,1428,2,False,
114799,61.8834,7.77464e+006,4.12871,1426,3,False,
114807,80.6205,5.96773e+006,4.7783,1426,7,True,
114808,48.0808,1.00065e+007,4.44833,1427,2,False,
114809,98.3489,4.89198e+006,4.71451,1426,34,True,
114810,297.746,1.61588e+006,3.89592,1420,3,False,
114844,142.438,3.37776e+006,3.29734,1427,2,False,
114912,637.104,755168,3.40256,1427,2,False,
114946,210.898,2.2813e+006,3.25892,1427,2,False,
114977,237.754,2.02361e+006,3.50034,1427,2,False,
115003,1196.47,402115,3.38238,1427,2,False,
115063,380.432,1.26467e+006,3.50893,1427,2,False,
115110,128.903,3.73242e+006,3.79183,1427,2,False,
115132,352.963,1.36309e+006,3.38141,1427,2,False,
115134,68.2231,7.05217e+006,3.22391,1427,2,False,
115138,98.2357,4.89762e+006,3.55353,1427,2,False,
115140,49.7652,9.66781e+006,3.79269,1427,3,False,
115141,41.6868,1.15413e+007,3.33467,1427,2,False,
115150,241.96,1.98843e+006,3.86412,1427,2,False,
115172,108.235,4.44515e+006,3.72199,1427,2,False,
115174,79.5969,6.04447e+006,3.89327,1427,2,False,
115176,304.51,1.57998e+006,3.75885,1427,2,False,
115180,81.6159,5.89494e+006,3.78103,1427,2,False,
115198,2987.97,161019,4.063,1427,2,False,
115199,717.489,670562,4.25631,1427,2,False,
115204,276.687,1.73886e+006,4.06185,1427,2,False,
115206,318.982,1.5083e+006,4.00864,1427,2,False,
115207,71.8057,6.70031e+006,3.97772,1427,4,False,
115208,92.7742,5.18593e+006,4.05163,1427,2,False,
115209,93.5872,5.14088e+006,4.61437,1427,13,True,
115210,185.64,2.59169e+006,2.99439,1423,2,False,
115213,491.115,979649,2.79795,1428,2,False,
115215,66.495,7.23544e+006,3.52346,1428,6,True,
115218,70.4838,6.82598e+006,3.58393,1428,9,True,
115225,878.395,547727,2.36095,1428,2,False,
115228,256.989,1.87214e+006,3.16537,1428,2,False,
115229,817.756,588343,3.32307,1428,2,False,
115231,52.3914,9.18321e+006,3.95207,1431,2,False,
115233,91537.8,5255.98,3.65704,1428,2,False,
115234,112.473,4.27764e+006,4.05398,1428,5,False,
115235,50.5567,9.51645e+006,4.55452,1428,4,False,
115237,59.193,8.128e+006,3.77209,1429,2,False,
115240,288.402,1.66823e+006,3.75463,1429,2,False,
115246,178.149,2.70067e+006,3.41673,1429,2,False,
115247,61.7915,7.7862e+006,4.11346,1429,2,False,
115249,197.272,2.43887e+006,4.01502,1429,5,False,
115251,59.8025,8.04516e+006,4.92,1438,2,False,
115300,490.392,981094,2.94853,1430,2,False,
115348,105.553,4.55809e+006,3.41453,1430,2,False,
115415,68.9015,6.98273e+006,3.48246,1430,3,False,
115531,105.045,4.58015e+006,3.5945,1430,16,True,
115533,354.622,1.35671e+006,3.83486,1430,3,False,
115534,194.571,2.47273e+006,3.48353,1430,2,False,
115537,105.123,4.57674e+006,3.56723,1430,5,True,
115538,297.745,1.61588e+006,4.02799,1430,3,False,
115547,29.1427,1.65091e+007,3.41547,1431,2,False,
115551,203.308,2.36646e+006,3.81581,1432,2,False,
115568,133.328,3.60854e+006,3.7544,1430,2,False,
115570,106.111,4.53412e+006,3.74814,1430,4,False,
115615,233.217,2.06297e+006,3.77973,1430,2,False,
115617,141.98,3.38866e+006,4.0532,1430,4,False,
115620,178.452,2.69608e+006,3.89411,1430,3,False,
115622,579.455,830299,4.22086,1430,3,False,
115626,112.586,4.27335e+006,4.51915,1430,3,False,
115640,31.0243,1.55079e+007,3.82458,1430,2,False,
115644,141.096,3.40989e+006,4.50549,1430,2,False,
115650,163.58,2.94119e+006,4.29829,1430,17,True,
115651,2355.65,204241,3.11255,1425,2,False,
115652,103.349,4.65531e+006,3.81749,1426,2,False,
115662,39.6441,1.2136e+007,3.85549,1431,2,False,
115666,42.9684,1.11971e+007,3.80358,1431,2,False,
115669,636.762,755574,2.94051,1433,2,False,
115674,91537.8,5255.98,4.03661,1431,2,False,
115678,78.2333,6.14982e+006,3.93042,1431,2,False,
115681,76.458,6.29262e+006,4.21339,1431,5,True,
115682,224.565,2.14245e+006,4.28846,1431,2,False,
115684,100.664,4.77948e+006,4.91413,1431,8,True,
115687,194.334,2.47575e+006,3.19624,1432,2,False,
115727,162.032,2.9693e+006,3.40541,1440,2,False,
115745,105.774,4.54857e+006,3.53399,1432,2,False,
115777,192.335,2.50147e+006,3.31376,1432,2,False,
115787,255.96,1.87967e+006,3.67964,1432,2,False,
115788,496.629,968773,3.33772,1432,2,False,
115789,85.4635,5.62954e+006,3.29381,1432,2,False,
115808,430.733,1.11698e+006,3.26972,1434,3,False,
115823,34.3371,1.40117e+007,3.35483,1432,2,False,
115827,118.822,4.0491e+006,3.63617,1432,2,False,
115843,264.936,1.81599e+006,3.41704,1432,2,False,
115849,74.6836,6.44212e+006,3.71784,1432,2,False,
115850,160.948,2.98929e+006,3.62253,1432,24,True,
115874,30.8519,1.55945e+007,3.64765,1432,2,False,
115881,179.767,2.67637e+006,3.62634,1432,2,False,
115882,22.3216,2.1554e+007,3.54944,1432,2,False,
115888,122.5,3.92752e+006,3.67651,1432,2,False,
115890,45.1799,1.0649e+007,3.58784,1432,2,False,
115893,45.4296,1.05905e+007,3.6794,1432,2,False,
115897,58.5841,8.21248e+006,3.6257,1432,4,False,
115904,58.0728,8.28478e+006,3.85972,1432,2,False,
115912,131.271,3.66509e+006,3.61717,1432,4,False,
115935,745.824,645086,3.75863,1432,2,False,
115942,261.212,1.84188e+006,4.06512,1432,2,False,
115962,48.7365,9.87189e+006,3.72911,1432,2,False,
115963,118.361,4.06485e+006,3.90428,1432,2,False,
115964,144.809,3.32244e+006,3.63341,1432,2,False,
